User_ID,Subscription_Tier,Num_Logins,Num_Searches,Num_Card_Views,Num_API_Calls,Num_Exports,Num_Emails_Sent,Churned
USER_00117,Pro,10,25,40,97,0,3,1
USER_00118,Enterprise,21,64,142,2466,7,32,0
USER_00119,Pro,9,22,46,88,0,5,0
USER_00120,Enterprise,16,57,146,2482,9,28,1
USER_00121,Enterprise,0,56,149,2499,12,32,0
USER_00122,Pro,6,24,55,79,4,0,0
USER_00123,Pro,8,22,54,0,0,8,0
USER_00124,Pro,8,0,59,109,4,6,0
USER_00125,Pro,10,39,53,110,1,7,0
USER_00126,Enterprise,20,62,139,2476,11,29,0
USER_00127,Enterprise,25,59,151,2505,6,21,0
USER_00128,Pro,6,28,60,101,3,5,0
USER_00129,Pro,11,23,0,123,1,4,0
USER_00130,Pro,10,0,63,117,1,5,0
USER_00131,Pro,7,32,57,78,2,5,0
USER_00132,Pro,5,28,51,98,1,7,0
USER_00133,Pro,13,0,54,107,1,5,0
USER_00134,Enterprise,16,53,163,2552,10,27,0
USER_00135,Pro,4,26,50,113,1,4,0
USER_00136,Pro,8,29,42,100,1,4,0
USER_00137,Enterprise,27,64,143,2503,13,41,0
USER_00138,Pro,9,28,40,108,0,2,0
USER_00139,Enterprise,26,60,0,2513,10,32,0
USER_00140,Enterprise,15,58,145,2544,0,27,0
USER_00141,Pro,6,22,58,89,3,4,0
USER_00142,Pro,6,27,57,104,0,5,0
USER_00143,Pro,11,31,49,98,3,11,0
USER_00144,Pro,10,22,67,97,5,5,0
USER_00145,Pro,10,28,61,111,3,7,0
USER_00146,Pro,14,29,49,105,2,5,0
USER_00147,Pro,5,28,44,104,2,3,0
USER_00148,Pro,9,31,44,104,3,4,0
USER_00149,Pro,9,28,58,96,0,10,0
USER_00150,Enterprise,11,0,131,2468,6,29,1
USER_00151,Pro,7,22,48,103,1,10,0
USER_00152,Pro,9,26,57,0,2,3,0
USER_00153,Pro,5,33,45,105,0,8,0
USER_00154,Enterprise,17,72,141,2465,7,34,0
USER_00155,Pro,8,18,43,104,0,3,1
USER_00156,Pro,7,17,53,107,4,5,1
USER_00157,Enterprise,19,63,153,2544,14,28,0
USER_00158,Pro,4,28,50,86,0,6,0
USER_00159,Enterprise,17,65,143,2552,7,31,0
USER_00160,Pro,6,20,46,107,1,3,0
USER_00161,Pro,17,22,47,89,1,6,0
USER_00162,Pro,9,26,45,104,3,4,0
USER_00163,Pro,7,24,41,100,1,5,1
USER_00164,Pro,4,21,55,90,1,12,0
USER_00165,Enterprise,19,65,147,2495,5,35,0
USER_00166,Pro,0,34,35,99,1,4,0
USER_00167,Pro,0,21,50,106,1,6,0
USER_00168,Pro,7,37,50,99,1,5,0
USER_00169,Pro,7,29,38,96,3,2,0
USER_00170,Pro,0,18,53,116,6,5,0
USER_00171,Pro,9,25,45,0,2,5,0
USER_00172,Pro,11,27,45,91,2,8,0
USER_00173,Pro,8,17,52,95,1,7,1
USER_00174,Pro,7,28,45,114,3,1,0
USER_00175,Pro,10,22,62,112,2,0,1
USER_00176,Pro,16,0,63,85,2,4,1
USER_00177,Pro,0,25,0,98,2,0,0
USER_00178,Enterprise,25,60,158,2576,9,22,0
USER_00179,Pro,11,14,47,98,1,3,0
USER_00180,Pro,4,28,44,96,0,5,1
USER_00181,Pro,0,15,46,102,3,5,0
USER_00182,Enterprise,23,61,146,0,11,31,0
USER_00183,Enterprise,22,44,0,2530,10,27,0
USER_00184,Pro,13,20,52,96,2,9,0
USER_00185,Pro,9,22,55,103,4,0,0
USER_00186,Enterprise,26,69,149,2506,9,32,0
USER_00187,Pro,0,26,51,95,0,9,0
USER_00188,Pro,16,25,60,115,2,7,0
USER_00189,Pro,10,0,0,113,3,0,0
USER_00190,Pro,10,0,52,97,0,6,0
USER_00191,Enterprise,13,60,147,2463,8,27,0
USER_00192,Enterprise,23,54,164,2530,8,25,0
USER_00193,Pro,8,27,60,101,1,4,0
USER_00194,Pro,4,24,37,89,2,11,0
USER_00195,Pro,10,25,52,117,2,4,0
USER_00196,Enterprise,25,68,0,2583,14,31,0
USER_00197,Enterprise,24,46,161,2545,9,31,0
USER_00198,Enterprise,25,62,142,2579,14,29,0
USER_00199,Enterprise,18,70,165,2443,17,29,0
USER_00200,Pro,7,18,54,99,0,5,1
USER_00201,Pro,10,30,0,105,3,8,0
USER_00202,Pro,8,23,55,98,2,2,0
USER_00203,Enterprise,17,56,157,2479,11,27,0
USER_00204,Pro,6,21,29,101,4,4,0
USER_00205,Pro,7,37,40,121,3,6,0
USER_00206,Pro,8,29,47,84,4,10,0
USER_00207,Pro,5,21,49,101,2,7,1
USER_00208,Pro,3,31,42,77,1,6,0
USER_00209,Pro,14,32,51,100,2,9,0
USER_00210,Pro,6,24,40,116,3,7,0
USER_00211,Pro,13,28,47,95,3,8,0
USER_00212,Pro,12,24,51,99,4,4,0
USER_00213,Pro,12,26,50,118,0,2,0
USER_00214,Enterprise,22,58,120,2441,10,37,0
USER_00215,Pro,8,0,50,113,0,7,0
USER_00216,Pro,7,20,53,107,3,7,0
USER_00217,Enterprise,9,63,139,2573,15,30,0
USER_00218,Pro,1,27,56,103,1,1,1
USER_00219,Enterprise,19,68,160,2511,11,32,0
USER_00220,Pro,10,30,48,111,2,4,0
USER_00221,Pro,15,32,45,83,4,6,0
USER_00222,Pro,4,16,44,104,3,3,0
USER_00223,Pro,5,21,0,101,1,4,0
USER_00224,Pro,8,21,46,82,2,5,0
USER_00225,Pro,5,18,42,110,1,7,1
USER_00226,Enterprise,17,54,156,2533,10,31,0
USER_00227,Pro,7,30,51,105,3,4,0
USER_00228,Enterprise,24,59,166,0,13,30,0
USER_00229,Pro,9,29,60,100,2,5,0
USER_00230,Enterprise,24,51,146,2464,9,27,0
USER_00231,Pro,13,27,56,98,4,2,0
USER_00232,Pro,7,18,43,84,2,4,0
USER_00233,Pro,6,27,58,87,2,5,1
USER_00234,Pro,5,26,0,94,2,2,0
USER_00235,Enterprise,14,63,129,2545,7,31,0
USER_00236,Pro,9,28,0,114,0,7,0
USER_00237,Pro,6,22,45,94,2,3,1
USER_00238,Pro,9,26,41,100,0,3,0
USER_00239,Pro,6,31,50,76,1,5,0
USER_00240,Enterprise,26,61,157,2508,9,23,0
USER_00241,Enterprise,24,0,153,2495,10,32,1
USER_00242,Enterprise,20,74,137,2394,12,26,0
USER_00243,Pro,15,23,43,89,3,0,0
USER_00244,Pro,9,21,43,118,1,9,0
USER_00245,Enterprise,23,74,150,2438,6,35,0
USER_00246,Pro,8,17,42,92,1,6,0
USER_00247,Enterprise,0,57,148,0,10,27,0
USER_00248,Enterprise,19,54,132,2562,6,27,0
USER_00249,Enterprise,18,58,131,2579,6,27,0
USER_00250,Pro,6,30,47,105,4,6,0
USER_00251,Pro,7,25,37,101,0,9,0
USER_00252,Enterprise,17,74,144,2531,5,40,0
USER_00253,Pro,10,19,58,112,2,4,0
USER_00254,Pro,9,0,48,103,2,6,0
USER_00255,Pro,3,0,51,114,3,6,0
USER_00256,Enterprise,15,65,147,2439,8,39,0
USER_00257,Pro,6,0,53,98,0,8,0
USER_00258,Pro,10,35,57,95,0,4,0
USER_00259,Pro,8,26,54,95,1,3,0
USER_00260,Pro,8,28,52,96,5,7,0
USER_00261,Enterprise,15,53,146,2420,15,26,0
USER_00262,Pro,15,21,54,95,5,7,0
USER_00263,Pro,13,35,68,99,0,0,0
USER_00264,Enterprise,0,55,158,2600,9,38,0
USER_00265,Enterprise,18,57,142,2522,12,40,1
USER_00266,Pro,8,28,52,103,1,5,0
USER_00267,Enterprise,18,54,163,2556,11,31,0
USER_00268,Pro,0,28,38,87,2,3,0
USER_00269,Pro,5,26,44,85,1,5,0
USER_00270,Enterprise,18,55,160,2510,8,25,0
USER_00271,Enterprise,26,72,155,2509,8,26,0
USER_00272,Enterprise,21,61,163,2626,10,33,0
USER_00273,Enterprise,14,61,143,0,11,25,0
USER_00274,Pro,8,24,34,87,4,5,0
USER_00275,Pro,3,28,49,102,5,6,0
USER_00276,Enterprise,0,0,145,2552,12,28,0
USER_00277,Pro,7,28,46,93,0,10,0
USER_00278,Enterprise,17,55,161,2545,5,24,0
USER_00279,Enterprise,26,58,146,2508,7,27,0
USER_00280,Enterprise,10,59,133,2491,16,33,0
USER_00281,Pro,6,23,42,93,1,6,0
USER_00282,Pro,9,26,48,100,4,4,0
USER_00283,Pro,6,22,57,95,2,7,0
USER_00284,Pro,13,25,59,101,1,5,0
USER_00285,Pro,7,21,43,94,2,2,0
USER_00286,Pro,13,33,53,104,1,11,0
USER_00287,Pro,7,25,60,87,6,6,0
USER_00288,Pro,0,21,56,104,1,4,1
USER_00289,Pro,4,34,48,107,3,4,0
USER_00290,Pro,5,20,40,91,4,10,0
USER_00291,Pro,9,0,46,95,1,5,0
USER_00292,Enterprise,23,58,142,2537,16,24,0
USER_00293,Pro,14,23,50,95,1,4,0
USER_00294,Pro,6,19,37,92,2,1,0
USER_00295,Pro,7,26,55,90,4,6,0
USER_00296,Enterprise,16,55,157,2525,9,31,0
USER_00297,Pro,7,24,0,113,3,6,0
USER_00298,Pro,12,19,0,110,1,4,0
USER_00299,Pro,7,23,51,100,2,2,0
USER_00300,Pro,10,26,0,0,3,7,0
USER_00301,Pro,13,24,63,89,6,2,0
USER_00302,Pro,12,25,48,92,2,4,0
USER_00303,Pro,5,24,48,96,3,3,0
USER_00304,Enterprise,21,70,148,2488,8,27,1
USER_00305,Enterprise,26,59,0,2459,6,39,0
USER_00306,Pro,7,28,41,97,3,1,0
USER_00307,Pro,13,20,51,103,4,0,0
USER_00308,Enterprise,18,57,153,2456,6,30,1
USER_00309,Pro,9,27,43,98,2,3,0
USER_00310,Pro,6,21,53,103,1,6,0
USER_00311,Pro,11,19,47,98,2,8,0
USER_00312,Pro,9,31,47,95,1,4,0
USER_00313,Enterprise,24,66,159,2438,9,47,0
USER_00314,Enterprise,15,56,0,2522,7,25,0
USER_00315,Pro,6,25,46,95,0,7,0
USER_00316,Pro,6,28,51,110,2,8,0
USER_00317,Pro,10,15,52,91,3,2,0
USER_00318,Pro,8,22,56,104,3,5,0
USER_00319,Pro,5,29,40,87,0,1,0
USER_00320,Pro,6,24,36,103,2,4,0
USER_00321,Enterprise,19,61,165,2401,5,35,0
USER_00322,Pro,6,33,0,94,0,6,0
USER_00323,Pro,12,24,47,104,3,4,0
USER_00324,Enterprise,23,60,155,2533,9,36,0
USER_00325,Enterprise,20,45,162,2562,11,31,0
USER_00326,Pro,5,29,47,97,2,4,0
USER_00327,Pro,0,34,61,118,2,6,0
USER_00328,Pro,5,29,45,100,3,2,0
USER_00329,Pro,9,28,55,108,1,4,0
USER_00330,Pro,12,28,56,104,2,5,0
USER_00331,Enterprise,20,75,163,2551,17,39,0
USER_00332,Pro,8,38,31,111,2,1,1
USER_00333,Pro,5,20,55,99,2,4,0
USER_00334,Pro,10,18,44,98,0,6,0
USER_00335,Pro,12,23,47,94,1,2,1
USER_00336,Enterprise,11,67,174,2496,6,26,0
USER_00337,Enterprise,10,65,129,2510,9,30,0
USER_00338,Pro,7,24,53,97,1,5,0
USER_00339,Pro,6,24,47,112,2,6,0
USER_00340,Pro,11,24,56,0,0,6,0
USER_00341,Pro,7,20,59,83,2,4,0
USER_00342,Pro,10,18,36,80,0,6,1
USER_00343,Pro,9,32,36,90,3,4,0
USER_00344,Pro,0,27,52,90,0,4,1
USER_00345,Pro,10,21,43,95,3,6,0
USER_00346,Pro,11,29,44,106,2,8,0
USER_00347,Pro,10,25,60,100,2,8,0
USER_00348,Pro,9,26,50,103,6,7,0
USER_00349,Pro,8,32,65,113,2,2,0
USER_00350,Pro,6,28,53,111,2,2,0
USER_00351,Enterprise,19,61,157,2502,12,32,0
USER_00352,Pro,0,25,51,94,1,5,0
USER_00353,Pro,7,29,55,114,1,1,0
USER_00354,Pro,3,27,57,97,4,0,0
USER_00355,Pro,13,30,53,110,2,4,0
USER_00356,Pro,0,22,54,87,4,5,0
USER_00357,Pro,8,18,46,114,1,5,0
USER_00358,Enterprise,26,60,127,2531,0,24,0
USER_00359,Pro,11,25,49,103,1,2,0
USER_00360,Pro,6,27,45,112,2,3,0
USER_00361,Pro,8,22,47,104,1,2,0
USER_00362,Pro,9,24,59,111,2,7,1
USER_00363,Pro,7,16,58,105,2,5,0
USER_00364,Enterprise,21,0,0,2532,17,29,0
USER_00365,Pro,5,25,55,0,2,4,0
USER_00366,Enterprise,18,61,130,2529,9,25,0
USER_00367,Enterprise,23,56,165,0,10,40,0
USER_00368,Pro,10,28,42,105,0,5,0
USER_00369,Pro,0,24,56,99,3,6,0
USER_00370,Pro,5,25,45,98,1,6,0
USER_00371,Pro,4,20,40,97,1,7,0
USER_00372,Pro,11,27,47,89,1,10,0
USER_00373,Pro,4,31,40,85,0,4,1
USER_00374,Pro,6,18,45,111,2,5,0
USER_00375,Pro,8,26,56,117,3,5,0
USER_00376,Enterprise,27,72,149,2494,10,21,1
USER_00377,Pro,7,29,51,95,3,7,1
USER_00378,Enterprise,22,70,140,2422,13,34,0
USER_00379,Pro,4,21,45,102,2,5,0
USER_00380,Pro,5,28,49,90,0,2,0
USER_00381,Pro,3,23,47,108,4,2,0
USER_00382,Pro,3,32,63,87,1,5,0
USER_00383,Enterprise,17,54,0,2587,16,27,0
USER_00384,Enterprise,21,71,143,2479,8,25,0
USER_00385,Enterprise,26,59,142,2489,11,31,0
USER_00386,Pro,4,27,60,0,0,4,0
USER_00387,Pro,0,34,54,96,3,6,0
USER_00388,Enterprise,27,49,148,0,11,33,0
USER_00389,Enterprise,19,54,149,2492,6,33,0
USER_00390,Enterprise,13,57,154,2477,7,30,0
USER_00391,Pro,12,26,57,92,4,3,0
USER_00392,Pro,11,26,52,0,1,7,0
USER_00393,Enterprise,23,73,148,2521,10,0,0
USER_00394,Pro,6,21,61,105,2,7,0
USER_00395,Enterprise,13,59,136,2512,8,27,0
USER_00396,Enterprise,21,56,147,2533,16,30,0
USER_00397,Pro,7,21,49,76,0,1,1
USER_00398,Enterprise,26,0,138,2433,6,21,0
USER_00399,Enterprise,15,48,160,2414,6,24,0
USER_00400,Pro,8,23,48,118,1,4,0
USER_00401,Enterprise,17,60,147,2513,15,31,0
USER_00402,Pro,13,26,61,113,4,2,0
USER_00403,Enterprise,18,68,151,2497,7,34,0
USER_00404,Pro,10,32,51,88,1,3,0
USER_00405,Enterprise,18,64,130,2470,7,28,0
USER_00406,Pro,8,25,52,84,1,7,0
USER_00407,Pro,8,17,57,0,4,4,0
USER_00408,Enterprise,0,65,173,2512,14,33,0
USER_00409,Pro,7,29,49,93,1,3,0
USER_00410,Pro,15,30,61,98,1,4,0
USER_00411,Enterprise,20,45,160,2556,8,27,0
USER_00412,Enterprise,21,57,142,2522,9,32,0
USER_00413,Pro,11,35,58,89,0,5,0
USER_00414,Pro,9,0,0,103,3,8,0
USER_00415,Pro,8,18,54,96,0,3,0
USER_00416,Pro,9,0,58,113,0,4,0
USER_00417,Pro,8,28,43,84,0,2,1
USER_00418,Pro,4,23,47,0,2,6,0
USER_00419,Enterprise,18,61,156,2515,8,29,0
USER_00420,Enterprise,17,60,163,2590,3,30,0
USER_00421,Enterprise,19,42,147,2485,8,30,0
USER_00422,Pro,10,0,48,97,2,4,0
USER_00423,Pro,11,29,59,104,1,7,0
USER_00424,Pro,7,23,54,74,2,2,0
USER_00425,Pro,7,28,51,102,4,5,0
USER_00426,Pro,13,29,57,111,2,4,0
USER_00427,Enterprise,0,56,165,2453,9,36,0
USER_00428,Pro,9,28,50,98,0,0,0
USER_00429,Pro,0,22,56,103,1,3,0
USER_00430,Pro,10,15,53,92,1,9,0
USER_00431,Enterprise,14,68,134,2564,8,36,0
USER_00432,Pro,10,20,43,101,2,6,0
USER_00433,Pro,6,24,58,0,3,7,1
USER_00434,Pro,8,31,44,112,2,5,0
USER_00435,Enterprise,0,62,149,2427,15,28,1
USER_00436,Pro,0,20,45,94,0,10,0
USER_00437,Enterprise,20,64,146,2501,18,26,0
USER_00438,Enterprise,18,63,143,0,9,31,0
USER_00439,Pro,7,15,51,105,0,3,1
USER_00440,Pro,12,22,42,113,5,8,0
USER_00441,Enterprise,18,63,140,2457,11,36,0
USER_00442,Pro,9,27,49,94,3,3,0
USER_00443,Pro,10,27,44,0,1,6,0
USER_00444,Enterprise,0,53,144,2555,8,0,0
USER_00445,Enterprise,17,59,134,0,12,34,0
USER_00446,Enterprise,21,62,173,2577,6,38,0
USER_00447,Enterprise,22,0,149,2510,10,34,0
USER_00448,Pro,5,16,41,105,4,10,0
USER_00449,Pro,6,19,41,93,1,3,0
USER_00450,Enterprise,19,57,130,2573,12,21,0
USER_00451,Pro,13,25,46,94,2,3,0
USER_00452,Pro,6,26,0,113,4,0,0
USER_00453,Enterprise,26,65,141,2484,9,26,0
USER_00454,Pro,9,0,52,109,3,10,0
USER_00455,Pro,15,25,55,94,2,1,0
USER_00456,Pro,0,23,43,104,1,4,0
USER_00457,Pro,9,30,47,102,2,6,0
USER_00458,Pro,6,21,49,115,3,3,0
USER_00459,Pro,10,28,45,116,5,6,0
USER_00460,Pro,2,28,56,117,2,2,0
USER_00461,Pro,7,20,36,123,1,5,0
USER_00462,Enterprise,36,56,155,2529,11,32,0
USER_00463,Pro,7,31,58,114,2,1,0
USER_00464,Enterprise,27,67,0,2471,0,24,0
USER_00465,Pro,6,23,34,106,2,3,1
USER_00466,Pro,3,29,58,100,3,4,0
USER_00467,Enterprise,9,59,160,0,11,25,0
USER_00468,Pro,10,29,45,109,2,6,0
USER_00469,Enterprise,22,70,133,2482,6,36,0
USER_00470,Pro,3,30,50,89,3,5,0
USER_00471,Enterprise,22,63,160,2478,7,27,0
USER_00472,Pro,0,24,53,105,1,9,0
USER_00473,Enterprise,24,58,160,2485,13,28,0
USER_00474,Pro,0,23,53,94,1,5,0
USER_00475,Enterprise,17,59,178,2488,11,18,0
USER_00476,Pro,5,22,53,100,0,11,0
USER_00477,Pro,11,26,66,115,0,5,0
USER_00478,Enterprise,24,65,161,2430,11,34,0
USER_00479,Pro,4,16,58,94,0,5,0
USER_00480,Pro,7,26,32,85,3,8,0
USER_00481,Pro,8,20,54,107,2,8,0
USER_00482,Pro,3,23,46,111,4,8,0
USER_00483,Pro,10,24,49,88,0,11,0
USER_00484,Pro,5,27,0,88,3,7,0
USER_00485,Enterprise,16,55,162,2508,10,28,0
USER_00486,Pro,6,24,51,91,2,5,0
USER_00487,Pro,8,34,53,96,3,5,0
USER_00488,Enterprise,21,66,129,2459,14,26,0
USER_00489,Enterprise,20,72,123,2553,11,20,0
USER_00490,Pro,11,27,56,94,3,2,0
USER_00491,Pro,8,17,60,96,2,6,0
USER_00492,Pro,8,22,49,90,1,5,0
USER_00493,Pro,5,24,46,110,4,7,0
USER_00494,Pro,11,24,60,94,3,7,0
USER_00495,Pro,8,22,44,105,1,6,0
USER_00496,Pro,9,0,61,106,0,5,0
USER_00497,Pro,10,16,41,102,0,7,0
USER_00498,Enterprise,0,73,155,2532,17,28,0
USER_00499,Enterprise,23,62,146,2506,8,34,0
USER_00500,Pro,9,35,56,99,0,7,0
USER_00501,Pro,3,22,0,92,3,5,0
USER_00502,Pro,3,38,58,86,5,11,0
USER_00503,Enterprise,22,65,173,2516,12,26,0
USER_00504,Pro,6,24,52,101,1,3,0
USER_00505,Pro,18,33,0,137,1,5,0
USER_00506,Enterprise,12,66,161,2511,7,33,0
USER_00507,Enterprise,21,73,162,2507,8,33,0
USER_00508,Enterprise,21,62,153,2449,9,27,0
USER_00509,Enterprise,21,55,135,2375,8,0,1
USER_00510,Pro,5,18,47,102,1,5,0
USER_00511,Pro,9,29,47,111,2,6,0
USER_00512,Enterprise,25,55,135,2480,12,31,0
USER_00513,Enterprise,27,58,121,2485,12,40,0
USER_00514,Pro,9,19,59,90,2,4,0
USER_00515,Pro,7,26,52,107,1,2,1
USER_00516,Pro,0,26,46,101,3,6,0
USER_00517,Enterprise,22,51,151,2542,12,0,0
USER_00518,Enterprise,16,64,141,2517,5,41,0
USER_00519,Pro,6,29,39,89,0,5,0
USER_00520,Pro,9,22,49,100,3,7,0
USER_00521,Pro,4,23,46,96,4,2,0
USER_00522,Enterprise,18,58,144,2495,12,34,0
USER_00523,Enterprise,21,83,142,2585,0,34,0
USER_00524,Enterprise,22,48,151,2435,10,32,0
USER_00525,Pro,12,41,52,106,2,4,0
USER_00526,Pro,9,16,56,117,0,6,0
USER_00527,Pro,0,26,48,116,2,4,0
USER_00528,Pro,0,0,54,104,5,1,0
USER_00529,Enterprise,19,66,161,2508,5,25,0
USER_00530,Enterprise,22,51,148,2453,13,33,0
USER_00531,Enterprise,27,58,159,2494,6,27,0
USER_00532,Enterprise,22,66,150,2468,3,22,0
USER_00533,Pro,6,22,36,89,0,4,1
USER_00534,Enterprise,27,63,131,2537,6,21,0
USER_00535,Enterprise,32,51,124,2459,10,27,1
USER_00536,Enterprise,21,65,186,2486,16,28,0
USER_00537,Pro,10,0,53,97,1,5,0
USER_00538,Pro,13,13,44,126,2,0,0
USER_00539,Pro,9,21,46,108,1,8,0
USER_00540,Enterprise,22,70,166,2455,9,30,0
USER_00541,Pro,10,18,51,92,6,11,0
USER_00542,Pro,15,27,57,82,2,7,0
USER_00543,Pro,9,24,43,91,3,8,0
USER_00544,Pro,12,16,49,99,4,5,0
USER_00545,Pro,8,27,57,0,6,3,0
USER_00546,Pro,10,26,49,76,3,5,0
USER_00547,Pro,10,35,48,100,2,0,1
USER_00548,Pro,9,34,38,99,5,6,0
USER_00549,Enterprise,10,65,151,2502,0,26,0
USER_00550,Pro,5,26,44,102,2,10,0
USER_00551,Enterprise,24,57,142,2445,11,31,0
USER_00552,Pro,3,21,45,113,3,4,0
USER_00553,Pro,6,30,38,86,2,4,0
USER_00554,Enterprise,17,60,162,2461,12,0,0
